"entity_id","sku","name","description","brand","category","price","currency","image_url","features","rating","tags"
"d9c3b1de-7158-5ea1-9f33-7bdaec2f0462","d9c3b1de-7158-5ea1-9f33-7bdaec2f0462","Wireless Noise-Cancelling Headphones","Premium over-ear headphones with active noise cancellation, 30-hour battery life, and Hi-Res audio support.","","Electronics","249.99","USD","https://images.unsplash.com/photo-headphones?w=800&q=80","Noise Cancelling|Bluetooth 5.3|30h Battery","None","Noise Cancelling|Bluetooth 5.3|30h Battery"
"9bda5daa-d0ba-54c8-a32f-3a3fe4dc4af8","9bda5daa-d0ba-54c8-a32f-3a3fe4dc4af8","Ultra-Slim 15"" Laptop","Lightweight laptop with 15.6"" OLED display, 16 GB RAM, 512 GB SSD, and all-day battery.","","Electronics","899.99","USD","https://images.unsplash.com/photo-laptop?w=800&q=80","OLED Display|16 GB RAM|512 GB SSD","None","OLED Display|16 GB RAM|512 GB SSD"
"343a3a17-8ccc-5ac7-939c-f4dcdc93fde8","343a3a17-8ccc-5ac7-939c-f4dcdc93fde8","Smart 4K Streaming Stick","Plug-and-play 4K HDR streaming device with voice remote and Dolby Atmos support.","","Electronics","39.99","USD","https://images.unsplash.com/photo-streaming-device?w=800&q=80","4K HDR|Voice Control|Dolby Atmos","None","4K HDR|Voice Control|Dolby Atmos"
"0a660b76-78a2-5651-ba62-bd7acce4d888","0a660b76-78a2-5651-ba62-bd7acce4d888","Portable Bluetooth Speaker","Waterproof portable speaker with 360° sound, 12-hour playtime, and built-in microphone.","","Electronics","79.99","USD","https://images.unsplash.com/photo-bluetooth-speaker?w=800&q=80","Waterproof IP67|12h Playtime|360° Sound","None","Waterproof IP67|12h Playtime|360° Sound"
"e36b95d9-8d81-5d17-a6d8-301eed1413b3","e36b95d9-8d81-5d17-a6d8-301eed1413b3","Wireless Charging Pad Duo","Dual wireless charger for phone and earbuds with Qi2 fast charging up to 15 W.","","Electronics","34.99","USD","https://images.unsplash.com/photo-wireless-charger?w=800&q=80","Qi2 Fast Charge|Dual Device|LED Indicator","None","Qi2 Fast Charge|Dual Device|LED Indicator"
"517290d8-2941-5c34-9382-7aa988f91458","517290d8-2941-5c34-9382-7aa988f91458","Smart Fitness Tracker","Advanced fitness band with heart rate monitoring, GPS, sleep tracking, and 7-day battery.","","Electronics","129.99","USD","https://images.unsplash.com/photo-fitness-tracker?w=800&q=80","Heart Rate|Built-in GPS|7-Day Battery","None","Heart Rate|Built-in GPS|7-Day Battery"
"b6af46e3-71f3-5e5a-bdff-614d84863045","b6af46e3-71f3-5e5a-bdff-614d84863045","Mechanical Gaming Keyboard","RGB mechanical keyboard with hot-swappable switches, N-key rollover, and aluminum frame.","","Electronics","119.99","USD","https://images.unsplash.com/photo-gaming-keyboard?w=800&q=80","Hot-Swap Switches|RGB Backlit|N-Key Rollover","None","Hot-Swap Switches|RGB Backlit|N-Key Rollover"
"9ead7278-719e-5e7b-9c31-f94462b3cca0","9ead7278-719e-5e7b-9c31-f94462b3cca0","USB-C Hub 8-in-1","Multiport adapter with HDMI 4K, USB-A, SD card reader, Ethernet, and 100 W pass-through charging.","","Electronics","49.99","USD","https://images.unsplash.com/photo-usb-hub?w=800&q=80","HDMI 4K|100 W PD|8 Ports","None","HDMI 4K|100 W PD|8 Ports"
"b275a1b3-9f9f-5161-bd44-d5098f9f114a","b275a1b3-9f9f-5161-bd44-d5098f9f114a","True Wireless Earbuds Pro","In-ear wireless earbuds with adaptive ANC, transparency mode, and wireless charging case.","","Electronics","179.99","USD","https://images.unsplash.com/photo-wireless-earbuds?w=800&q=80","Adaptive ANC|Wireless Case|IPX4","None","Adaptive ANC|Wireless Case|IPX4"
"7be43a7a-6ee5-5f4b-a842-b0317fb04948","7be43a7a-6ee5-5f4b-a842-b0317fb04948","Digital Drawing Tablet","10"" pen display with 8192 pressure levels, tilt support, and laminated screen.","","Electronics","199.99","USD","https://images.unsplash.com/photo-drawing-tablet?w=800&q=80","8192 Pressure Levels|Tilt Support|10"" Display","None","8192 Pressure Levels|Tilt Support|10"" Display"
